first_pref,age_group,gender,education,division,state,ALP_supporter
Unsure,ages18to29,Female,highSchoolorCertIorIIorLess,Cowper,NSW,0
Other,ages45to59,Female,gradDipDipCertIIIandIV,Cowper,NSW,0
GRN,ages18to29,Female,bachelorDegree,Cowper,NSW,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Page,NSW,0
Unsure,ages45to59,Female,highSchoolorCertIorIIorLess,Capricornia,QLD,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Richmond,NSW,1
ALP,ages45to59,Female,bachelorDegree,Richmond,NSW,1
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Richmond,NSW,0
LNP,ages60plus,Female,bachelorDegree,Richmond,NSW,0
ALP,ages30to44,Male,bachelorDegree,Page,NSW,1
ALP,ages18to29,Female,bachelorDegree,New England,NSW,1
Other,ages30to44,Female,gradDipDipCertIIIandIV,New England,NSW,0
LNP,ages60plus,Female,highSchoolorCertIorIIorLess,New England,NSW,0
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Calare,NSW,1
Other,ages45to59,Male,highSchoolorCertIorIIorLess,Riverina,NSW,0
LNP,ages60plus,Female,bachelorDegree,Riverina,NSW,0
LNP,ages45to59,Female,bachelorDegree,Riverina,NSW,0
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Riverina,NSW,1
GRN,ages30to44,Female,bachelorDegree,Grayndler,NSW,0
ALP,ages30to44,Male,gradDipDipCertIIIandIV,Warringah,NSW,1
ALP,ages30to44,Male,gradDipDipCertIIIandIV,Blaxland,NSW,1
LNP,ages18to29,Female,highSchoolorCertIorIIorLess,Parramatta,NSW,0
LNP,ages30to44,Male,postgraduateDegree,North Sydney,NSW,0
GRN,ages45to59,Female,highSchoolorCertIorIIorLess,Bradfield,NSW,0
Other,ages30to44,Male,highSchoolorCertIorIIorLess,Wentworth,NSW,0
LNP,ages60plus,Female,postgraduateDegree,Kingsford Smith,NSW,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Kingsford Smith,NSW,0
LNP,ages45to59,Male,postgraduateDegree,North Sydney,NSW,0
LNP,ages60plus,Female,bachelorDegree,Bradfield,NSW,0
Other,ages45to59,Female,postgraduateDegree,Bennelong,NSW,0
LNP,ages45to59,Male,postgraduateDegree,Mackellar,NSW,0
ALP,ages60plus,Female,gradDipDipCertIIIandIV,Berowra,NSW,1
GRN,ages30to44,Female,gradDipDipCertIIIandIV,Berowra,NSW,0
ALP,ages45to59,Male,gradDipDipCertIIIandIV,Bradfield,NSW,1
ALP,ages18to29,Female,postgraduateDegree,Sydney,NSW,1
GRN,ages30to44,Female,postgraduateDegree,Grayndler,NSW,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Hughes,NSW,0
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Hughes,NSW,0
ALP,ages60plus,Male,highSchoolorCertIorIIorLess,Banks,NSW,1
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Hughes,NSW,0
ALP,ages30to44,Female,highSchoolorCertIorIIorLess,Cook,NSW,1
ALP,ages30to44,Female,gradDipDipCertIIIandIV,Barton,NSW,1
ALP,ages30to44,Male,postgraduateDegree,Grayndler,NSW,1
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Barton,NSW,0
ALP,ages18to29,Female,postgraduateDegree,Cook,NSW,1
LNP,ages60plus,Male,highSchoolorCertIorIIorLess,Fowler,NSW,0
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Chifley,NSW,0
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Richmond,NSW,1
GRN,ages45to59,Female,highSchoolorCertIorIIorLess,Mitchell,NSW,0
LNP,ages60plus,Female,highSchoolorCertIorIIorLess,Mitchell,NSW,0
Other,ages45to59,Male,highSchoolorCertIorIIorLess,Parramatta,NSW,0
ALP,ages45to59,Male,bachelorDegree,McMahon,NSW,1
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Shortland,NSW,0
ALP,ages30to44,Female,highSchoolorCertIorIIorLess,Mitchell,NSW,1
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Mitchell,NSW,1
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Mitchell,NSW,0
LNP,ages30to44,Male,postgraduateDegree,Mitchell,NSW,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Reid,NSW,0
Other,ages45to59,Female,highSchoolorCertIorIIorLess,Banks,NSW,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Dobell,NSW,0
ALP,ages60plus,Female,postgraduateDegree,Reid,NSW,1
GRN,ages18to29,Female,postgraduateDegree,Bennelong,NSW,0
Unsure,ages45to59,Female,highSchoolorCertIorIIorLess,McMahon,NSW,0
ALP,ages45to59,Male,bachelorDegree,Bennelong,NSW,1
LNP,ages30to44,Male,gradDipDipCertIIIandIV,Bennelong,NSW,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Parramatta,NSW,1
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Berowra,NSW,0
Other,ages18to29,Male,highSchoolorCertIorIIorLess,Warringah,NSW,0
LNP,ages45to59,Female,gradDipDipCertIIIandIV,Warringah,NSW,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Warringah,NSW,0
LNP,ages45to59,Female,gradDipDipCertIIIandIV,Mackellar,NSW,0
Other,ages45to59,Male,highSchoolorCertIorIIorLess,North Sydney,NSW,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Mackellar,NSW,0
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,La Trobe,VIC,1
LNP,ages60plus,Male,highSchoolorCertIorIIorLess,Monash,VIC,0
ALP,ages60plus,Male,bachelorDegree,Gippsland,VIC,1
Other,ages45to59,Male,highSchoolorCertIorIIorLess,Gippsland,VIC,0
GRN,ages30to44,Female,bachelorDegree,Gippsland,VIC,0
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Corio,VIC,1
ALP,ages45to59,Male,gradDipDipCertIIIandIV,Corio,VIC,1
