Year,Elect_div,State,PollingPlaceID,Latitude,Longitude
2016,Berowra,NSW,632,-33.7523233,151.0651663
2016,Berowra,NSW,117,-33.6181,151.147
2016,Berowra,NSW,118,-33.6094008,151.1427318
2016,North Sydney,NSW,65454,-33.7981824,151.1818539
2016,Berowra,NSW,120,-33.54813,151.21538
2016,Mitchell,NSW,58669,-33.7309994,151.0079324
2016,Berowra,NSW,637,-33.7578,151.074
2016,Berowra,NSW,11928,-33.7314,151.042
2016,Berowra,NSW,34004,-33.7205638,151.0459716
2016,Berowra,NSW,1852,-33.7190356,151.0376017
2016,Berowra,NSW,11929,-33.7382005,151.0503745
2016,Berowra,NSW,121,-33.5885,151.169
2016,North Sydney,NSW,30097,-33.7982897,151.1819191
2016,Berowra,NSW,11930,-33.6857,151.026
2016,Berowra,NSW,11971,-33.7447,151.03
2016,Berowra,NSW,1836,-33.648,151.045
2016,Berowra,NSW,1838,-33.701,151.004
2016,Berowra,NSW,1839,-33.5987,151.008
2016,Berowra,NSW,1831,-33.6054902,150.9788283
2016,Berowra,NSW,1851,-33.7285,151.025
2016,Berowra,NSW,123,-33.7,151.097
2016,Berowra,NSW,58578,-33.7042865,151.0973096
2016,Bradfield,NSW,43688,-33.7064,151.102
2016,Berowra,NSW,124,-33.670187,151.0966482
2016,Berowra,NSW,126,-33.6833,151.098
2016,Berowra,NSW,134,-33.712763699999996,151.0955118
2016,Berowra,NSW,128,-33.70446,151.097122
2016,Berowra,NSW,1842,-33.6654,151.004
2016,Berowra,NSW,1788,-33.45935,150.99446
2016,Berowra,NSW,1789,-33.5234,150.944
2016,Berowra,NSW,1846,-33.6444,151.023
2016,Berowra,NSW,131,-33.6726,151.117
2016,Berowra,NSW,132,-33.6575,151.136
2016,Berowra,NSW,1848,-33.7271,151.024
2016,Berowra,NSW,1850,-33.7658,151.039
2016,Bradfield,NSW,79812,-33.7237,151.098
2016,Berowra,NSW,135,-33.72177,151.08808
2016,Berowra,NSW,33781,-33.721514,151.0232634
2016,Berowra,NSW,136,-33.7328992,151.0614421
2016,Mitchell,NSW,56586,-33.7142,150.993
2016,Sydney,NSW,14020,-33.8730501,151.2064528
2016,Berowra,NSW,1855,-33.7459033,151.0501363
2016,Berowra,NSW,56576,-33.7282,151.085
2016,Berowra,NSW,148,-33.7242,151.072
2016,Berowra,NSW,33118,-33.756832,151.042589
2016,Bennelong,NSW,65184,-33.7727711,151.0813486
2016,Berowra,NSW,33800,-33.3954535,150.9849427
2016,Blaxland,NSW,2365,-33.8538,151.032
2016,Blaxland,NSW,2392,-33.856,151.028152
2016,Blaxland,NSW,2366,-33.8652,151.025
2016,Blaxland,NSW,2368,-33.8433,151.034
2016,Blaxland,NSW,2369,-33.8603,151.02
2016,Blaxland,NSW,31455,-33.9209,151.034
2016,Blaxland,NSW,33854,-33.919083,151.036563
2016,Blaxland,NSW,155,-33.91927,151.03662
2016,Blaxland,NSW,154,-33.9133,151.035
2016,Blaxland,NSW,157,-33.9054791,151.0386724
2016,Blaxland,NSW,177,-33.9164,151.02
2016,Blaxland,NSW,159,-33.9047,151.006
2016,Blaxland,NSW,162,-33.8996,150.99
2016,Blaxland,NSW,2370,-33.8705,151.028
2016,Blaxland,NSW,2383,-33.8783,151.029
2016,Blaxland,NSW,2371,-33.8958,151.02
2016,Blaxland,NSW,2373,-33.8579,151.007
2016,Parramatta,NSW,65523,-33.8148884,151.0062838
2016,Blaxland,NSW,2375,-33.8847939,151.0008561
2016,Blaxland,NSW,160,-33.8873,151.001
2016,Blaxland,NSW,2376,-33.8737,150.996
2016,Blaxland,NSW,167,-33.9255,151.013
2016,Blaxland,NSW,33117,-33.9228609,151.0129563
2016,Blaxland,NSW,168,-33.931105,151.0216557
2016,Parramatta,NSW,30098,-33.8149398,151.0062969
2016,Mcmahon,NSW,65264,-33.872127,150.954178
